Method,Avg Accuracy,Std Accuracy,Logit Stability,Prob Stability,Flip Rate
Baseline,0.6959999899069468,0.006693275966311639,0.11828839247742873,0.0214810063961576,0.0184
BCR,0.6872000098228455,0.004182494232646583,0.06285831438858112,0.013542491210691168,0.006666666666666666
Weight Decay,0.6901333312193553,0.005536129244384147,0.09967936132805058,0.02077542478237265,0.012
SAM,0.6938666582107544,0.005631648587874095,0.11143010053362185,0.02167291170203941,0.0176
R-Drop,0.6967999955018361,0.006645291748320789,0.11719057555931173,0.020372597088254098,0.0176
Bagging,0.6946666598320007,0.006477303914074266,0.08244931885018356,0.02308581414730339,0.0208
IFR,0.6961333274841308,0.0065713106248732975,0.11691871255917978,0.021487939468462742,0.018266666666666667
IFR-KFAC,0.696533324321111,0.006510158283950187,0.11837633628302459,0.021791528831050046,0.01813333333333333
