lambda,perf,stability
Baseline,0.5630290687084198,0.07994083813023421
0,0.5708558142185212,0.06701427031806803
0.01,0.5705753326416015,0.0680065621234251
0.02,0.5707683384418487,0.06793417846110437
0.05,0.5712537825107574,0.06884639143627436
0.1,0.5717356681823731,0.06629447435554404
0.2,0.5720602035522461,0.06424784119180695
0.5,0.5746322333812713,0.06051931022946423
1.0,0.5789108097553253,0.05839669949040822
