Method,Avg RMSE,Std RMSE,Stability RMSE,Std p90,Std max
Baseline,0.5617934962113699,0.0039415322894351046,0.08642287976841793,0.11804078,0.56825024
BCR,0.5704192360242207,0.0028195679502436804,0.06591624858165897,0.08772728,0.35035548
Weight Decay,0.6154294927914937,0.0038371381940548307,0.08150315597704427,0.10691937,0.5510832
SAM,0.5676857610543569,0.004746130504757281,0.08522710269582288,0.11153734,0.44648218
R-Drop,0.5605876207351684,0.004632940919877463,0.08376455926848701,0.11345134,0.3289692
Bagging,0.5573984821637471,0.002868777213676774,0.052778289753268634,0.07235912,0.28332004
IFR,0.5620491643746693,0.00445525820374557,0.08911383115832613,0.120244294,0.5210754
