Method,Avg Accuracy,Std Accuracy,Logit Stability,Prob Stability,Flip Rate
Baseline,0.826009339094162,0.0005434647155403809,0.21667544942410677,0.012654660087889116,0.009286708705265745
BCR,0.8255370855331421,0.0005572300809984081,0.14842441149780147,0.010294127555709933,0.007880872437419813
Weight Decay,0.8230338792006174,0.0005298510271210678,0.044199937029913455,0.009210910226613274,0.008020091174623973
SAM,0.8256380875905355,0.0005069156309572446,0.19588632213366688,0.012891598257437601,0.008112903666093412
R-Drop,0.8259711186091105,0.0006772718918541346,0.22633056443110874,0.012658842825282861,0.008031010291267435
Bagging,0.82615673939387,0.0006620729365443877,0.2247606265772234,0.01125643090112374,0.007539650042311576
IFR,0.8259956896305084,0.0005707801065126454,0.22392235049162054,0.013626609100656443,0.009158409084705048
