dataset,K,lambda,stability,stability_se,avg_metric,std_metric,is_classification
adult,3,0.01,0.14916836102507225,0.010400302525048108,0.82549067735672,0.0005802058877498948,True
adult,3,0.02,0.1487951925591783,0.010211724210515357,0.8256053328514099,0.0005889256684114729,True
adult,3,0.05,0.14842441149780147,0.01036195689136222,0.8255370855331421,0.0005572300809984081,True
adult,3,0.1,0.1484717781241452,0.010345788385647809,0.8255916873613993,0.0005408099929973033,True
adult,3,0.2,0.14962254732674424,0.010258193618673143,0.8255261659622193,0.0005553275119777639,True
adult,3,0.5,0.14776926458780873,0.01040017635499751,0.8255070606867473,0.0005782793221204353,True
adult,3,1.0,0.14653188570746634,0.010253335495726842,0.825542543331782,0.0005614937242513019,True
adult,5,0.0,0.10639820018713556,0.007376891298445197,0.8255070547262827,0.00045983505629165555,True
adult,5,0.005,0.10674823738983605,0.007389892848670912,0.8256107886632283,0.0004843654371516457,True
adult,5,0.01,0.10682108809017216,0.007442186536503633,0.8255916814009349,0.000520589475098312,True
adult,5,0.02,0.10688907968346191,0.007528925831438122,0.8255370855331421,0.00043100238818872985,True
adult,5,0.05,0.10685406083086073,0.007556703285091159,0.8255725741386414,0.00047278269817105427,True
adult,5,0.1,0.10635042335826604,0.0075299490017029565,0.8254770278930664,0.0004145394813364325,True
adult,5,0.2,0.10559526555400993,0.007310408472307211,0.8255370835463206,0.0004902168688290629,True
adult,5,0.5,0.10602506308124224,0.007475778171482865,0.8254770318667094,0.00043249126764236245,True
adult,5,1.0,0.10533567704862634,0.00751052843787216,0.8254306236902873,0.0004204255160971023,True
adult,7,0.0,0.0945392063433892,0.006646474754912814,0.8256189823150635,0.0004178351520461806,True
adult,7,0.005,0.0950180171206865,0.006552328428747854,0.8255480051040649,0.00038683081424878315,True
adult,7,0.01,0.09441360411968709,0.00667183966127925,0.8255698422590891,0.0003890173310179417,True
adult,7,0.02,0.09403258689229198,0.006666177436977366,0.825618976354599,0.00045077401344723067,True
adult,7,0.05,0.09399018217396515,0.00658172874681678,0.8255862255891164,0.00043111003227804976,True
adult,7,0.1,0.09468569316336128,0.006648554087498235,0.8255834917227427,0.00042626601897090575,True
adult,7,0.2,0.09457416171276668,0.0066557942447097625,0.8254715700944265,0.00044358062412261167,True
adult,7,0.5,0.09426141366035443,0.006678882376683282,0.8254770338535309,0.000403062459260021,True
adult,7,1.0,0.09524056013987327,0.006826869798514149,0.8254060566425323,0.00042788570969705506,True
adult,10,0.0,0.08946846763767477,0.0054683556503520095,0.8256490071614583,0.0005248025217768293,True
adult,10,0.005,0.0891240620333014,0.005431940909432423,0.8256817579269409,0.0005446979891197571,True
adult,10,0.01,0.09014253070646479,0.005571293981287115,0.8256681164105734,0.0005356320190595506,True
adult,10,0.02,0.08947354733252999,0.005556537717627255,0.8256735722223918,0.000502226302681169,True
adult,10,0.05,0.08920528736189771,0.0054692812208908936,0.825676300128301,0.000565926409036777,True
adult,10,0.1,0.08938561123931736,0.0055675816567685305,0.8256462732950847,0.0005125073070904833,True
adult,10,0.2,0.0892938338785638,0.0055192844828476605,0.8255971411863963,0.0005532038951125453,True
adult,10,0.5,0.08927396277595871,0.005439571347040678,0.8255507290363312,0.000520266064987691,True
adult,10,1.0,0.08927640909003205,0.005591303128599331,0.8255316237608592,0.00042954644433158856,True
german,2,0.0,0.08171099921881685,0.0051954847792864516,0.6873333394527436,0.005068410113800617,True
german,2,0.005,0.08170254734070005,0.005199155579761394,0.6873333394527436,0.005068410113800617,True
german,2,0.01,0.08170193464528586,0.005198211887504137,0.6873333394527436,0.005068410113800617,True
german,2,0.02,0.08168821191386291,0.005194832636970176,0.6874666730562846,0.004814780212403277,True
german,2,0.05,0.08168131405265766,0.00519075969110753,0.6873333394527436,0.004853394595712073,True
german,2,0.1,0.08168739104190702,0.005188399140424,0.6873333394527436,0.004853394595712073,True
german,2,0.2,0.08168779292816608,0.005192563286459714,0.6873333394527436,0.00496206711882072,True
german,2,0.5,0.08167405071630053,0.005192675210500818,0.6876000026861827,0.005301560352206257,True
german,2,1.0,0.08171943027876927,0.005198806446714572,0.6876000026861827,0.00499064575908826,True
german,3,0.0,0.0628621924143719,0.0034497508304706394,0.6873333434263865,0.004141917676416461,True
german,3,0.005,0.06286332577501315,0.003449371082461538,0.6873333434263865,0.004141917676416461,True
german,3,0.01,0.06286511466542634,0.0034494511053340038,0.6872000098228455,0.004182494232646583,True
german,3,0.02,0.0628584514384608,0.003450040957365049,0.6872000098228455,0.004182494232646583,True
german,3,0.05,0.06285831438858112,0.00344997277796757,0.6872000098228455,0.004182494232646583,True
german,3,0.1,0.06284152907497488,0.003446603426640835,0.6870666762193044,0.004218468712028837,True
german,3,0.2,0.06279627048242274,0.00344644112525583,0.6872000058492025,0.004052969869590424,True
german,3,0.5,0.062784478843166,0.0034413038387992524,0.6868000050385793,0.004150490475260077,True
german,3,1.0,0.06272202781176639,0.0034318053808369176,0.6864000121752422,0.003517569398684953,True
german,5,0.0,0.053166896151045036,0.004161856508683048,0.687333341439565,0.0038758402197702005,True
german,5,0.005,0.053168466085712,0.004161051104452015,0.687333341439565,0.0038758402197702005,True
