scenario,description,baseline_rmse,bcr_rmse,baseline_stability,bcr_stability,stability_improvement_pct,rmse_change_pct
very_low_n,"Very low n (50), p=10",137.61199086507162,137.70724080403645,0.24887971657604654,0.13527184928558744,45.64770036442307,0.06921630765317476
low_n,"Low n (200), p=20",266.8004140218099,268.03387552897135,1.6462544815825082,0.6274619488748644,61.885482718826125,0.46231618930719504
moderate_n,"Moderate n (1000), p=20",40.90546493530273,47.63675104777018,17.970760757060344,13.266005727383973,26.180054886257214,16.455713492350835
low_n_high_p,"Low n (200), high p (50)",157.5626948038737,158.42191263834636,1.5705544963758582,0.5569224664685879,64.53975536960243,0.5453180624653298
very_high_p,"Very high p (100), n=500",225.80214131673176,239.72905934651692,13.104889494463865,5.93507255323456,54.71100648546621,6.167752860345963
mild_correlation,Correlated features (rho=0.5),5.221149158477783,5.21227331161499,0.5059712407793738,0.3507961928449464,30.668748622036944,-0.16999795626181086
strong_correlation,Correlated features (rho=0.9),4.818372297286987,4.812276411056518,0.31598846498015554,0.27029161041776273,14.461557818340815,-0.1265133919581323
noise_10pct,10% label noise,207.6152333577474,209.41169077555338,13.62352555722631,10.352901225344434,24.007180212959213,0.8652820839550139
noise_20pct,20% label noise,229.26469980875652,235.54153951009116,16.963657802347825,12.824054550806867,24.402775036926432,2.737813412431363
noise_40pct,40% label noise,355.5517059326172,358.30243225097655,16.636173480293063,10.2555649700055,38.35382287787469,0.7736501533986868
